name;url;price;currency;description;brand;avg_rating;reviews_count;pack_size;ingredients;percentage_alcohol;serving_size
Youngs Gastro Cod Parmesan Parsley 2 F/Cakes 270G;https://www.tesco.com/groceries/en-GB/products/312714076;3.5;GBP;Cod and Alaska Pollock Fish Cakes with Parmesan and Parsley in Breadcrumb. Responsibly sourced fish for life®. Our fish for life® programme makes sure all our fish is responsibly sourced. To see how we do the right things to conserve fish for future generations visit www.youngsseafood.co.uk. Restaurant Quality Fish,Chunky;YOUNG'S;4;2;Pack size: 270G;Cooked Potato, Cod (18%) (Fish), Wheat Flour [Wheat Flour, Calcium Carbonate, Iron, Niacin (B3), Thiamin (B1)], Alaska Pollock (14%) (Fish), Rapeseed Oil, Onion, Parmigiano Reggiano (3%) (Milk), Cream (Milk), Dried Potato, Water, Lemon Juice, Parsley, Wheat Starch, Salt, Maize Flour, Sea Salt, Yeast, Mustard Flour, Garlic Puree, Raising Agents: Disodium Diphosphates, Sodium Bicarbonate, Dextrose, Sunflower Oil, Yeast Extract, Wheat Gluten, White Pepper;;Pack contains 2 servings
Joseph Joseph Grey Duo Multi Grip Mandoline;https://www.tesco.com/groceries/en-GB/products/312359968;10;GBP;"JOSEPH JOSEPH GREY DUO MULTI GRIP MANDOLINE . Safely and evenly slice a variety of fruit and vegetables,Precision food grip features three styles of grip: Pinch grip for small items; Centre grip for round slices; Flat grip for longer slices,Sharp stainless-steel blade";JOSEPH JOSEPH;;;;;;
Harry's Shave Cream With Eucalyptus;https://www.tesco.com/groceries/en-GB/products/309163119;7;GBP;Harry's Shave Cream With Eucalyptus. Cushions your shave & conditions your skin,With aloe & eucalyptus;HARRY'S;4.4;73;Pack size: 100ML;Water/Aqua/Eau, Palmitic Acid, Aloe Barbadensis (Aloe Vera) Leaf Juice, Myristic Acid, Potassium Hydroxide, Glycerin, Stearic Acid, Sodium Lauryl Sulfoacetate, Methyl Gluceth-20, Sodium Isostearoyl Lactylate, Cocos Nucifera (Coconut) Oil, Oryza Sativa (Rice) Bran Extract, Cocos Nucifera (Coconut) Water, Helianthus Annuus (Sunflower) Extract, Eucalyptus Globulus Leaf Oil, Mentha Piperita (Peppermint) Oil, Cucumis Sativus (Cucumber) Fruit Extract, Sclerocarya Birrea Seed Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Leuconostoc/Radish Root Ferment Filtrate, Silybum Marianum Fruit Extract, Ocimum Sanctum Leaf Powder, Panthenol, Tocopheryl Acetate, Tocopherol, Phenoxyethanol, Sodium Chloride, Caprylyl Glycol, Sodium Sulfate, Ethylhexylglycerin, Hydroxyethylcellulose, Sodium Benzoate, Menthoxypropanediol, Disodium EDTA, Propanediol, Lauric Acid, Pentaerythrityl Tetra-di-t-Butyl Hydroxyhydrocinnamate, Polyquaternium-7, Dipropylene Glycol, PEG-150 Distearate, Sodium Acetate, Butylene Glycol, Sodium Hydroxide, Limonene;;
Keep It Handy 6 In 1 Screwdriver;https://www.tesco.com/groceries/en-GB/products/306350566;1.5;GBP;Keep It Handy 6 In 1 Screwdriver. Includes an assortment of crosshead, flathead and hexagonal bits;KEEP IT HANDY;3;2;;;;
Tesco Belonging Alphabet Mug A;https://www.tesco.com/groceries/en-GB/products/311825087;3.5;GBP;TESCO BLGING ALPHABET MUG A . Alphabet mug available in other letters,Letter A;TESCO HOME;;;;;;
Tesco Balti Sauce 500G;https://www.tesco.com/groceries/en-GB/products/252550106;1;GBP;A spicy tomato based sauce with onion and green and red peppers.;TESCO;3.3;7;Pack size: 500G;;;4 Servings
Ryvita Cheddar & Crack Black Pepper Thins 125G;https://www.tesco.com/groceries/en-GB/products/268348368;2;GBP;Wheat and Rye Flatbread with Mature Cheddar & Cracked Black Pepper. 31 Calories Per Thin,British Baked,High in Fibre,No Artificial Preservatives,Source of Protein,Great Taste,Vegetarian Friendly;RYVITA;4.2;5;Pack size: 125G;Wheat Flour (69%) (Wheat Flour, Calcium, Niacin, Iron, Thiamin), Medium Mature Cheddar Cheese (12%) (Medium Mature Cheddar (Milk), Potato Starch), Cheese Powder (Milk) (9%), Wholegrain Rye Flour (8%), Black Pepper (1%), Flavour Enhancer (Potassium Chloride), Salt, Natural Flavouring;;Approximately 17 thins per pack
Mr Kipling Lemon Slice 6 Pack;https://www.tesco.com/groceries/en-GB/products/296983713;1.35;GBP;Lemon Flavoured Sponge with a Lemon Flavour Filling (12%), Topped with a Decorated Lemon Flavoured Icing (26%). Mr Kipling Lemon Layered Slices,Light lemon sponge slices with a zingy filling and icing,100% natural flavours,Suitable for vegetarians,Individually wrapped twin packs;MR KIPLING;4.5;29;;Sugar, Wheat Flour (with added Calcium, Iron, Niacin, Thiamin), Water, Vegetable Oils (Rapeseed, Palm), Glucose Syrup, Humectant (Vegetable Glycerine), Dextrose, Dried Egg White, Whey Powder (Milk), Maize Starch, Raising Agents (Disodium Diphosphate, Sodium Bicarbonate), Vegetable Fat (Palm), Concentrated Lemon Juice (contains Preservative (Sodium Metabisulphite (Sulphites))), Tapioca Starch, Emulsifiers (Mono- and Diglycerides of Fatty Acids, Polyglycerol Esters of Fatty Acids, Sorbitan Monostearate, Soya Lecithin, Polysorbate 60), Colours (Calcium Carbonate, Lutein), Salt, Flavourings (contain Milk), Stabiliser (Xanthan Gum), Preservative (Potassium Sorbate), Acids (Citric Acid, Acetic Acid), Gelling Agent (Sodium Alginate);;This pack contains 6 portions
Peckish 6 Energy Balls 6X80g;https://www.tesco.com/groceries/en-GB/products/299512858;1.5;GBP;A complementary feed for wild birds. Attracts Popular Garden Birds,High Energy Sunflower Seeds,Sustainably Sourced;PECKISH;2.4;10;Pack size: 480G;Wheat, Beef Tallow, Calcium Carbonate, Ground Maize, Wheat Flour, Sunflower Seed (4%), Red Dari, Ground Mixed Seeds;;
Sharpie S Gel Metallic Black 2 Pen 2 Refill;https://www.tesco.com/groceries/en-GB/products/311789057;9;GBP;SHARPIE S GEL METALLIC BLACK 2 PEN 2 REFILL;SHARPIE;4.7;23;;;;
Tesco All Purpose Chopping Board;https://www.tesco.com/groceries/en-GB/products/292375466;2.5;GBP;Tesco All Purpose Chopping Board. Single Chopping Board;TESCO HOME;3;9;;INGREDIENTS:Polyethylene.;;
Tesco British Pork Crumbed Ham 125G;https://www.tesco.com/groceries/en-GB/products/265085320;2;GBP;Sliced, cured and cooked formed ham made from selected cuts of pork leg meat, coated with gluten free breadcrumbs.;TESCO;3;21;Pack size: 125G;;;6 Servings
The Corner Deli Co. Chilli Crackers 65G;https://www.tesco.com/groceries/en-GB/products/274972178;1.6;GBP;Chilli Rice Crackers. Chilli rating - 2,Spicy, crunchy chilli crackers, perfect for snacking,Suitable for vegetarians;DELICATESSEN;5;4;Pack size: 65G;Rice (41%), Sunflower Oil, Sugar, Tapioca Starch, Soya Sauce (Soya Bean, Wheat, Salt), Salt, Garlic Powder, Maltodextrin, Liquorice Powder, Capsicum Extract, Yeast Extract, Colour (Paprika Extract);;
Quorn Crispy Nuggets 476G;https://www.tesco.com/groceries/en-GB/products/281572572;2.95;GBP;"Meat free savoury flavour nuggets, made with mycoprotein, coated in a crispy batter. Sustainable nutrition. Quorn products are a source of protein because they contain Quorn mycoprotein; a nutritious and sustainable protein source. Quorn mycoprotein is footprinted by the carbon trust and has less impact on our planet's resources. Recommended Netmums. In a poll of 103 Netmums members, 98% would recommend Quorn Crispy Nuggets to a friend or family. To discover delicious recipes made with Quorn products and to find out more about our approach to sustainable nutrition visit www.quorn.co.uk and get social with us!. Deliciously meat free,Source of Protein,Low in Saturated Fat,Source of Fibre,No Soy,Vegetarian Society Approved";QUORN;4.7;52;Pack size: 476G;Mycoprotein (39%), Water, Rehydrated Free Range Egg White, Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamine), Vegetable Oils (Sunflower, Rapeseed), Salt, Maize Flour, Wheat Starch, Milk Proteins, Textured Wheat Protein (Wheat Protein, Wheat Flour), Natural Flavouring, Raising Agents: Tetrasodium Diphosphate, Sodium Carbonate, Pea Fibre, Firming Agents: Calcium Chloride, Calcium Acetate, Wheat Gluten, Gelling Agent: Pectin, Dextrose;;5-6 Servings
Tesco Finest Marron Chestnuts 400G;https://www.tesco.com/groceries/en-GB/products/312111674;3.5;GBP;Lasered Marron chestnut.;TESCO FINEST;;;Pack size: 400G;;;approx. 13 Servings
Tiger Tiger 5Mm Rice Sticks 400G;https://www.tesco.com/groceries/en-GB/products/276865043;2.4;GBP;Tiger Tiger 5Mm Rice Sticks 400G. Unleash the Taste,Naturally Gluten Free,Medium - 5mm,Perfect for adding to soups and stir fries;TIGER TIGER;3.2;6;Pack size: 400G;Rice Flour (83%), Tapioca Starch, Salt;;
Vaseline Original Petroleum Jelly 100Ml;https://www.tesco.com/groceries/en-GB/products/272455673;2;GBP;Vaseline Original Petroleum Jelly 100Ml. Moisturise your skin . Pure petroleum jelly . Suitable for all skin types . Made with triple-purified Petroleum Jelly, Vaseline Original protects dry, cracked skin and locks in moisture to keep it healthy,Vaseline Petroleum Jelly is clinically proven to help heal dry or damaged skin,The original wonder jelly can be used on dry skin, stressed skin, and sensitive skin to protect it from windburn or chapping,Vaseline provides dry skin relief and helps protect minor cuts, scrapes and burns,Petroleum Jelly is hypoallergenic, dermatologically tested and non-comedogenic, so it will not clog your pores,Vaseline cares for the skin you're born in, which is why our Petroleum Jelly works deep to moisturise dry, rough, and irritated skin;VASELINE;4.8;48;Pack size: 100ML;Petrolatum, BHT, Tocopheryl Acetate;;
Cushelle Quilted 3 Ply 16 Roll Family Pack;https://www.tesco.com/groceries/en-GB/products/302919425;11.45;GBP;Cushelle Quilted 3 Ply 16 Roll Family Pack. Average roll length 18.5 m,Average sheet size 118 x 104 mm,Quilted for extra softness & strength,Average 157 sheets per roll,Available in 4 roll, 6 roll, 9 roll,16 roll and 24 roll,3-ply;CUSHELLE;4.9;1231;Pack size: 2512SHT;;;
Strepsils Throat Pain Honey & Lemon X24;https://www.tesco.com/groceries/en-GB/products/297519664;5;GBP;Strepsils Throat Pain Honey & Lemon X24. Pain relief for sore throats;STREPSILS;5;1;;Each Lozenge contains 2.4mg of Hexylresorcinol, Also contains Liquid Sucrose, Liquid Glucose and Propylene Glycol, For a full list of excipients, see the insert leaflet;;
Dairy Pride Uht Skimmed Milk 1 Litre;https://www.tesco.com/groceries/en-GB/products/308100946;0.7;GBP;Ultra Heat Treated Skimmed Milk. Longer lasting UHT milk,0.1% fat,British milk,No additives or preservatives;DP;2.3;3;Pack size: 1L;Skimmed Milk;;A 1 litre carton contains 5 glasses of a 200ml serving
Fox & Ivy Malmo Cereal Bowl;https://www.tesco.com/groceries/en-GB/products/307372164;4.5;GBP;Fox & Ivy Malmo Cereal Bowl. The reactive glaze color is natural,Stoneware,Excellent quality;Fox & Ivy;;;;;;
Philadelphia Original Soft Cheese 280G;https://www.tesco.com/groceries/en-GB/products/311687892;3.25;GBP;Full fat soft cheese. For delicious recipe ideas or any other comments, visit: www.philadelphia.co.uk. Fresh and creamy taste,Made with Simply Good Ingredients Milk, Cream, Pinch of Salt,No Preservatives,Made with pasteurised milk,Suitable for Vegetarians;PHILADELPHIA;4.6;55;Pack size: 280G;Full Fat Soft Cheese, Salt, Stabiliser (Locust Bean Gum), Acid (Citric Acid);;1 portion = 30 g. Contains 9-10 portions
Halo Top Peanut Butter Swirl Sticks 3 X 100Ml;https://www.tesco.com/groceries/en-GB/products/303105989;3.95;GBP;Peanut Butter Flavoured Ice Cream with Peanut Butter (12.9%), with Sugars and Sweeteners. 100 kcal per bar;HALO TOP;4.7;3;Pack size: 300ML;Reconstituted Skimmed Milk, Peanut Butter (12.9%) (Peanuts, Sugar, Peanut Oil, Salt), Resistant Dextrin, Sugar, Cream, Eggs, Skimmed Milk Powder, Sweetener (Erythritol), Emulsifier (Mono and Diglycerides of Fatty Acids), Stabilisers (Locust Bean Gum, Guar Gum), Natural Peanut Flavour, Colour (Plain Caramel), Fat-Reduced Cocoa Powder, Sea Salt, Sweetener (Steviol Glycosides);;
Tesco Tuna Chunks In Sunflower Oil 145G;https://www.tesco.com/groceries/en-GB/products/303882199;0.8;GBP;Skipjack tuna chunks in sunflower oil.;TESCO;3.6;11;Pack size: 102G;;;2 Servings
Tesco Vegetable Suet 200G;https://www.tesco.com/groceries/en-GB/products/309451056;1.3;GBP;Shredded vegetable suet.;TESCO;4.2;4;Pack size: 200G;;;6 Servings
Good Boy Wagtastic Jumbo Twist Chicken 70G;https://www.tesco.com/groceries/en-GB/products/291596799;2.25;GBP;A Complementary Pet Food for Dogs. Yummy dog treats,100% natural chicken breast meat,Promotes dental hygiene,Get your dog's tail wagging!,Containing no artificial colours, flavours or preservatives;WAGTASTIC;4.7;3;Pack size: 70G;Rawhide (50%), Chicken Breast (45%), Glycerin, Pea Protein, Salt;;
Fred & Flo Easy Fit Pants Size 4 42Pk;https://www.tesco.com/groceries/en-GB/products/301393557;4;GBP;Fred & Flo Easy Fit Nappy Pant Size 4 42pk;FRED & FLO;2.8;22;;;;
Tesco Sweet And Sour Chicken 400G;https://www.tesco.com/groceries/en-GB/products/310687628;4;GBP;Cooked battered chicken breast pieces within a pineapple, rice vinegar and ginger sauce.;TESCO;4.3;20;Pack size: 400G;;;2 Servings
The Spice Tailor Punjabi Chickpea Masala 400G;https://www.tesco.com/groceries/en-GB/products/311429487;3.15;GBP;Chickpeas cooked in a hearty Indian gravy, mildly spiced and in individual pouches. It is important to maintain a varied and balance diet and healthy lifestyle.. Visit The Spice Tailor or Anjum Anand on: Instagram, Pinterest and YouTube. Discover quick, easy recipe ideas and more about our products at: thespicetailor.com. Chill rating - medium - 2,Plant powered,A delicious bowl of earthy chickpea goodness,No other ingredients required,No nasties,Low in sugar,Source of protein,No artificial preservatives, colourings or flavourings,Vegetarian;THE SPICE TAILOR;4.6;10;Pack size: 400G;Cooked Chickpeas 34% (Chickpea, Water), Water, Onions, Sunflower Oil, Tomato Paste, Ginger, Salt, Ground and Whole Spices, Garlic, Coriander Powder, Cumin, Pomegranate Seeds;;Serves 2 as a main
Winalot Shapes 800G;https://www.tesco.com/groceries/en-GB/products/254906283;2;GBP;A Complementary Pet Food for Adult Dogs. Please visit the Winalot website www.winalot-dog.co.uk. With fibre,No added artificial colours, flavours or preservatives;WINALOT;1.5;69;Pack size: 0.8KG;Cereals (of which Wholegrain 19%), Oils and Fats, Derivatives of Vegetable Origin, Meat and Animal Derivatives, Minerals, Vegetables;;
L'oreal Paris Elnett Normal Strength Hair Spray 400Ml;https://www.tesco.com/groceries/en-GB/products/259880355;6.95;GBP;L'oreal Paris Elnett Normal Strength Hair Spray 400Ml. Up to 24H normal hold,Iconic micro diffuser hairspray,Gives natural hair movement and shine,Protects your style against the effects of humidity,Brush out for hair that feels clean and ready to restyle,No stiffness, stickiness or visible residue;ELNETT;4.6;5;Pack size: 400ML;1157978 L, Alcohol Denat., Dimethyl Ether, VA/Crotonates/Vinyl Neodecanoate Copolymer, Hydroxycitronellal, PEG/PPG-4/12 Dimethicone, Aminomethyl Propanol, Limonene, Linalool, Benzyl Alcohol, Benzyl Benzoate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Alpha-Isomethyl Ionone, Geraniol, Citronellol, Coumarin, Amyl Cinnamal, Parfum / Fragrance, (F.I.L. C240457/1);;
Yankee 6 Wax Melts Cosy Up;https://www.tesco.com/groceries/en-GB/products/297478509;3.75;GBP;Yankee 6 Wax Melts Cosy Up. Burn time - Up to 4 hours per Wax Melt;YANKEE CANDLE;;;;;;
Biore Ultra Pore Strips X6ct;https://www.tesco.com/groceries/en-GB/products/287840741;8;GBP;Biore Ultra Pore Strips X6ct. Free your pores!,Instantly unclogs pores by removing dirt, oil & blackheads,Dermatologist Tested,With witch hazel and tea tree oil,Breakup with blackheads,Vegan Friendly;BIORE;5;1;;Polyquaternium-37, Silica, Aqua, Glycerin, Polysilicone-13, PEG-12 Dimethicone, Parfum, Menthol, Melaleuca Alternifolia Leaf Oil, Aluminum Hydroxide, Butylene Glycol, Tocopherol, Hamamelis Virginiana Leaf Extract, Methylparaben, Limonene, Linalool, CI 77891;;
Veet In Shower Cream Sensitive 150Ml;https://www.tesco.com/groceries/en-GB/products/264292807;8;GBP;Veet In Shower Cream Sensitive 150Ml. Clinically proven,Up to 7 days of smoothness,Exfoliated & moisturised skin,Sensitive Skin,Body & legs,Soothing with aloe vera and violet blossom fragrance,Dermatologically tested,Suitable for both women and men;VEET;4.3;30;Pack size: 150ML;Aqua, Urea, Cetearyl Alcohol, Potassium Thioglycolate, Ceteareth-20, Calcium Hydroxide, VP/Hexadecene Copolymer, PPG-15 Stearyl Ether, Paraffinum Liquidum, Parfum, Magnesium Trisilicate, Propylene Glycol, Lithium Magnesium Sodium Silicate, Aloe Barbadensis Leaf Juice, Sodium Gluconate, Tocopheryl Acetate, Hexyl Cinnamal, Linalool, Acrylates Copolymer, Butylphenyl Methylpropional, BHT, Potassium Sorbate, Sodium Benzoate, CI 77891;;
Kumala Reserve Chenin Blanc 75Cl;https://www.tesco.com/groceries/en-GB/products/272783192;7;GBP;Chenin Blanc. Wine of Swartland, South Africa;KUMALA;4.4;18;Pack size: 75CL;;13% vol;Bottle contains 6 glasses
Fairy Fresh In-Wash Scent Booster 320G;https://www.tesco.com/groceries/en-GB/products/312364247;6.5;GBP;Fairy Fresh In-Wash Scent Booster 320g . In-wash scent booster for mild freshness that lasts,From the brand voted #1 for sensitive skin (online panel of 3327 females among which Fairy Non Bio was voted most often as the #1 detergent & fabric softener for sensitive skin.),Dermatologically tested in-wash scent booster,Fairy Beads fresh cardboard with 0% Dyes,Try Fairy dream team for Sensitive Skin,Can be added to every load  with all types of fabrics;FAIRY;4.7;1126;Pack size: 320G;Perfumes;;
Tesco 3.1A Dual Port Car Charger;https://www.tesco.com/groceries/en-GB/products/303922511;8;GBP;Tesco 3.1A Dual Port Car Charger. Charge two devices simultaneously,Works with any USB charging cable,Length 6cm,Charge from two ports simultaneously from your car,Made for devices with a USB-A connection;TESCO HOME;;;;;;
Graze Lively Lemon Flapjack 3X53g;https://www.tesco.com/groceries/en-GB/products/312101824;2;GBP;Lemon flavoured wholegrain oat flapjack topped with a yoghurt drizzle. Enjoy as part of a varied and balanced diet and a healthy lifestyle. Tasty Triple Packs,No artificial colours, flavours, sweeteners or preservatives,Suitable for vegetarians;GRAZE;4.8;155;Pack size: 159G;Oats (44%), Chicory Root Fibre, Vegetable Oils (Rapeseed, Palm*), Golden Syrup, Liquid Sugar, Humectant: Glycerine, Whole Milk Powder, Vegetable Fats (Palm*, Palm Kernel*, Shea), Soluble Corn Fibre, Sugar, Demerara Sugar, Potato Starch, Emulsifier: Lecithins (Soya), Sea Salt, Natural Lemon Flavouring, Citrus Fibre, Yoghurt Powder (Milk) (0.2%), Sweet Whey Powder (Milk), Stabiliser: Xanthan Gum, Molasses, Natural Flavouring, *Contains certified sustainable palm oil;;1 Servings
